Brand,Model,Year of Manufacture,Engine Capacity (cc),Mileage (km/l),Price (INR),Resale Price (INR),Seller Type,City Tier,Fuel Type,Insurance Status,State,Avg Daily Distance (km),Bike Age,Depreciation Rate (%)
Bajaj,Pulsar,2011,320,64.9,45338,40066,Individual,Tier 3,Electric,Not Insured,Maharashtra,13,14,11.63
Yamaha,SZ,2008,323,59.0,137391,21731,Individual,Tier 2,Diesel,Not Insured,Tamil Nadu,52,17,84.18
Yamaha,SZ,2014,336,68.8,95255,20343,Dealer,Tier 1,Electric,Insured,Uttar Pradesh,39,11,78.64
Yamaha,SZ,2015,239,50.1,119981,42757,Individual,Tier 2,Electric,Not Insured,Delhi,59,10,64.36
Honda,Livo,2012,295,46.3,50349,35926,Individual,Tier 2,Diesel,Not Insured,Delhi,36,13,28.65
Hero,HF Deluxe,2015,239,32.0,141833,119043,Individual,Tier 1,Petrol,Insured,Uttar Pradesh,31,10,16.07
Suzuki,Access,2023,350,57.5,81480,64529,Dealer,Tier 2,Electric,Insured,Uttar Pradesh,26,2,20.8
Yamaha,FZ,2020,128,61.1,84323,26776,Dealer,Tier 1,Petrol,Insured,Gujarat,42,5,68.25
Suzuki,Gixxer,2005,323,60.8,93572,51325,Individual,Tier 2,Petrol,Not Insured,Karnataka,10,20,45.15
Honda,Unicorn,2020,278,35.7,128876,49748,Dealer,Tier 1,Diesel,Insured,Rajasthan,12,5,61.4
Yamaha,R15,2017,213,43.4,42703,27803,Dealer,Tier 2,Electric,Insured,Tamil Nadu,48,8,34.89
Bajaj,Avenger,2010,85,43.2,139404,91014,Dealer,Tier 1,Electric,Not Insured,Tamil Nadu,35,15,34.71
Honda,Shine,2023,329,46.2,32030,25515,Individual,Tier 3,Electric,Insured,Gujarat,56,2,20.34
Hero,Splendor,2016,346,65.8,32590,29097,Individual,Tier 2,Petrol,Not Insured,Gujarat,44,9,10.72
Bajaj,Avenger,2009,162,79.9,77503,60572,Individual,Tier 2,Electric,Insured,Tamil Nadu,49,16,21.85
Honda,Unicorn,2017,259,30.9,76641,44249,Dealer,Tier 2,Electric,Not Insured,Maharashtra,11,8,42.26
Bajaj,CT 100,2021,134,36.3,86545,68413,Individual,Tier 3,Petrol,Not Insured,Maharashtra,38,4,20.95
Bajaj,Avenger,2005,244,65.3,143164,109660,Dealer,Tier 1,Diesel,Not Insured,Maharashtra,26,20,23.4
Hero,Splendor,2017,338,43.9,53330,22298,Individual,Tier 3,Petrol,Not Insured,Karnataka,10,8,58.19
Honda,Livo,2011,242,71.5,75153,32843,Dealer,Tier 3,Petrol,Insured,Uttar Pradesh,22,14,56.3
Suzuki,Gixxer,2012,133,39.3,84299,35575,Dealer,Tier 1,Diesel,Not Insured,Uttar Pradesh,58,13,57.8
Hero,HF Deluxe,2006,104,48.3,112702,55982,Dealer,Tier 1,Diesel,Insured,Gujarat,48,19,50.33
Honda,Livo,2021,170,39.6,77890,31903,Dealer,Tier 1,Diesel,Not Insured,Maharashtra,19,4,59.04
Honda,Shine,2006,169,54.4,66111,53475,Individual,Tier 1,Petrol,Not Insured,Gujarat,27,19,19.11
Honda,Unicorn,2010,298,33.7,112213,88780,Individual,Tier 2,Petrol,Insured,Maharashtra,37,15,20.88
Honda,Unicorn,2023,301,69.2,106256,52831,Dealer,Tier 3,Diesel,Insured,Maharashtra,22,2,50.28
Yamaha,SZ,2008,104,65.2,65262,52376,Individual,Tier 3,Electric,Not Insured,Uttar Pradesh,37,17,19.75
Yamaha,SZ,2010,272,65.3,86578,79102,Individual,Tier 1,Electric,Insured,Rajasthan,26,15,8.63
Honda,Livo,2008,248,46.7,47732,24979,Dealer,Tier 3,Petrol,Not Insured,Rajasthan,12,17,47.67
Suzuki,Access,2020,181,65.0,144965,81146,Individual,Tier 2,Electric,Insured,Tamil Nadu,19,5,44.02
Yamaha,FZ,2022,319,57.5,78170,40211,Dealer,Tier 1,Petrol,Insured,Tamil Nadu,40,3,48.56
Honda,Livo,2023,340,36.5,71152,66462,Dealer,Tier 3,Petrol,Not Insured,Gujarat,28,2,6.59
Hero,Passion,2020,263,37.0,59890,58797,Individual,Tier 3,Diesel,Not Insured,Rajasthan,60,5,1.83
Hero,HF Deluxe,2006,268,64.5,149634,134154,Individual,Tier 3,Diesel,Not Insured,Tamil Nadu,47,19,10.35
Suzuki,Access,2014,151,58.7,129212,24228,Dealer,Tier 3,Electric,Not Insured,Maharashtra,27,11,81.25
Suzuki,Access,2013,326,69.2,69723,32320,Dealer,Tier 1,Petrol,Not Insured,Gujarat,13,12,53.65
Honda,Unicorn,2020,159,74.3,62364,34515,Individual,Tier 3,Petrol,Not Insured,Rajasthan,35,5,44.66
Suzuki,Gixxer,2019,157,58.0,103963,94032,Dealer,Tier 2,Electric,Not Insured,Uttar Pradesh,32,6,9.55
Yamaha,FZ,2022,252,38.9,81071,23789,Individual,Tier 2,Diesel,Insured,Karnataka,36,3,70.66
Suzuki,Access,2018,334,47.8,72686,23905,Dealer,Tier 3,Petrol,Not Insured,Uttar Pradesh,36,7,67.11
Hero,Passion,2015,92,66.8,104749,86312,Individual,Tier 2,Diesel,Not Insured,Rajasthan,48,10,17.6
Suzuki,Gixxer,2015,151,34.3,44413,32871,Individual,Tier 3,Diesel,Not Insured,Karnataka,49,10,25.99
Honda,Shine,2013,191,31.2,91299,31603,Individual,Tier 2,Electric,Insured,Karnataka,42,12,65.39
Honda,Unicorn,2022,191,45.0,32986,25305,Dealer,Tier 2,Petrol,Not Insured,Uttar Pradesh,10,3,23.29
Suzuki,Gixxer,2022,102,60.6,99312,90413,Individual,Tier 2,Petrol,Insured,Delhi,39,3,8.96
Suzuki,Gixxer,2016,327,46.4,71108,67080,Individual,Tier 1,Diesel,Not Insured,Delhi,27,9,5.66
Bajaj,CT 100,2014,105,43.6,90427,89722,Dealer,Tier 2,Petrol,Insured,Rajasthan,11,11,0.78
Hero,Passion,2008,218,39.2,39775,27475,Individual,Tier 1,Diesel,Insured,Gujarat,57,17,30.92
Suzuki,Burgman,2012,339,79.5,64285,50116,Individual,Tier 1,Petrol,Insured,Delhi,18,13,22.04
Bajaj,Pulsar,2017,309,52.2,68263,53558,Individual,Tier 3,Petrol,Insured,Maharashtra,14,8,21.54
Yamaha,SZ,2007,81,61.7,74245,34770,Dealer,Tier 2,Diesel,Not Insured,Gujarat,40,18,53.17
Bajaj,Avenger,2018,254,78.1,143511,82435,Individual,Tier 2,Electric,Not Insured,Delhi,36,7,42.56
Yamaha,FZ,2018,302,37.5,71596,58204,Dealer,Tier 3,Petrol,Not Insured,Karnataka,60,7,18.7
Yamaha,FZ,2015,238,43.2,81239,72646,Individual,Tier 1,Electric,Insured,Delhi,58,10,10.58
Yamaha,R15,2008,324,41.4,143973,88092,Individual,Tier 1,Diesel,Insured,Karnataka,34,17,38.81
Honda,Unicorn,2021,122,35.8,132567,91772,Dealer,Tier 1,Diesel,Not Insured,Karnataka,53,4,30.77
Honda,Livo,2008,115,41.1,31304,20799,Individual,Tier 3,Diesel,Not Insured,Tamil Nadu,12,17,33.56
Bajaj,Pulsar,2016,110,43.4,132425,115631,Individual,Tier 2,Petrol,Not Insured,Maharashtra,48,9,12.68
Suzuki,Access,2005,153,36.4,113693,37201,Dealer,Tier 1,Electric,Insured,Rajasthan,23,20,67.28
Hero,Passion,2020,194,51.7,134761,59753,Individual,Tier 3,Petrol,Not Insured,Maharashtra,33,5,55.66
Hero,Passion,2012,275,62.9,126166,39695,Individual,Tier 1,Petrol,Not Insured,Tamil Nadu,26,13,68.54
Suzuki,Burgman,2015,253,59.5,86872,58750,Individual,Tier 2,Diesel,Not Insured,Uttar Pradesh,35,10,32.37
Yamaha,SZ,2019,224,30.4,78990,77677,Dealer,Tier 2,Diesel,Not Insured,Karnataka,44,6,1.66
Hero,HF Deluxe,2007,345,50.7,132443,124531,Individual,Tier 2,Electric,Not Insured,Maharashtra,48,18,5.97
Bajaj,CT 100,2021,336,73.0,46593,20292,Individual,Tier 3,Diesel,Not Insured,Karnataka,21,4,56.45
Hero,Splendor,2009,82,45.9,86085,43658,Individual,Tier 1,Petrol,Insured,Rajasthan,50,16,49.29
Honda,Shine,2009,90,46.4,146287,53360,Dealer,Tier 1,Diesel,Insured,Rajasthan,50,16,63.52
Honda,Unicorn,2011,113,48.7,49780,40257,Dealer,Tier 1,Diesel,Insured,Gujarat,10,14,19.13
Yamaha,FZ,2021,112,43.9,54610,31998,Individual,Tier 2,Diesel,Insured,Delhi,17,4,41.41
Honda,Unicorn,2012,126,43.5,145227,75792,Individual,Tier 3,Diesel,Not Insured,Gujarat,11,13,47.81
Yamaha,FZ,2013,330,75.0,120481,20508,Dealer,Tier 1,Petrol,Insured,Delhi,14,12,82.98
Hero,Passion,2010,285,62.1,132391,115549,Dealer,Tier 3,Electric,Insured,Karnataka,39,15,12.72
Honda,Shine,2022,208,67.0,66529,34836,Dealer,Tier 3,Petrol,Insured,Karnataka,20,3,47.64
Honda,Unicorn,2006,100,62.2,120718,49127,Dealer,Tier 2,Petrol,Insured,Delhi,39,19,59.3
Hero,HF Deluxe,2021,92,73.8,116289,75375,Individual,Tier 3,Diesel,Insured,Rajasthan,28,4,35.18
Bajaj,Avenger,2015,152,64.6,59418,38245,Dealer,Tier 3,Petrol,Not Insured,Delhi,34,10,35.63
Honda,Shine,2018,305,38.4,90134,40719,Dealer,Tier 2,Petrol,Insured,Delhi,50,7,54.82
Suzuki,Burgman,2017,158,74.7,111245,25359,Individual,Tier 1,Electric,Not Insured,Rajasthan,43,8,77.2
Bajaj,Pulsar,2012,347,36.3,46411,34742,Dealer,Tier 3,Electric,Not Insured,Maharashtra,23,13,25.14
Hero,Splendor,2006,80,37.4,138544,88442,Dealer,Tier 2,Petrol,Insured,Karnataka,35,19,36.16
Suzuki,Gixxer,2022,212,63.3,131662,114062,Individual,Tier 1,Electric,Insured,Maharashtra,38,3,13.37
Bajaj,Pulsar,2010,343,43.4,74590,40952,Dealer,Tier 3,Petrol,Insured,Karnataka,31,15,45.1
Yamaha,FZ,2012,160,49.2,112950,52122,Individual,Tier 1,Electric,Insured,Uttar Pradesh,14,13,53.85
Honda,Unicorn,2012,321,68.5,136979,122771,Dealer,Tier 3,Diesel,Not Insured,Karnataka,35,13,10.37
Yamaha,SZ,2007,321,38.9,102609,20551,Dealer,Tier 2,Petrol,Insured,Delhi,45,18,79.97
Hero,Passion,2012,278,79.0,32862,30284,Dealer,Tier 1,Diesel,Insured,Uttar Pradesh,43,13,7.84
Bajaj,Avenger,2008,85,37.2,108975,76846,Individual,Tier 3,Petrol,Not Insured,Maharashtra,42,17,29.48
Hero,HF Deluxe,2021,170,72.8,83486,38793,Dealer,Tier 2,Petrol,Insured,Delhi,42,4,53.53
Bajaj,CT 100,2021,124,40.9,59127,22007,Dealer,Tier 2,Petrol,Not Insured,Maharashtra,28,4,62.78
Honda,Livo,2015,174,79.8,85895,53321,Individual,Tier 2,Electric,Insured,Delhi,24,10,37.92
Bajaj,Avenger,2006,157,69.4,112255,22004,Dealer,Tier 3,Diesel,Not Insured,Karnataka,13,19,80.4
Hero,HF Deluxe,2016,197,35.0,105930,36011,Individual,Tier 1,Diesel,Not Insured,Delhi,40,9,66.0
Yamaha,SZ,2017,306,53.5,86091,69033,Individual,Tier 3,Diesel,Not Insured,Maharashtra,13,8,19.81
Honda,Shine,2007,99,56.0,31853,24263,Individual,Tier 1,Petrol,Not Insured,Delhi,46,18,23.83
Suzuki,Access,2011,195,64.0,140552,45018,Dealer,Tier 1,Petrol,Not Insured,Gujarat,44,14,67.97
Bajaj,Avenger,2012,234,55.5,46712,39963,Individual,Tier 2,Diesel,Not Insured,Rajasthan,53,13,14.45
Suzuki,Burgman,2021,312,43.3,61729,30763,Dealer,Tier 3,Diesel,Not Insured,Gujarat,45,4,50.16
Honda,Livo,2022,202,72.5,65434,53731,Dealer,Tier 3,Electric,Not Insured,Gujarat,29,3,17.89
Honda,Shine,2007,257,34.2,64443,40863,Dealer,Tier 1,Petrol,Insured,Rajasthan,30,18,36.59
Hero,HF Deluxe,2022,327,71.5,133628,102404,Dealer,Tier 1,Diesel,Not Insured,Delhi,58,3,23.37
Hero,Splendor,2007,127,52.9,68037,24756,Dealer,Tier 3,Electric,Not Insured,Delhi,57,18,63.61
Suzuki,Gixxer,2011,92,46.8,52530,38367,Dealer,Tier 2,Petrol,Not Insured,Tamil Nadu,59,14,26.96
Honda,Unicorn,2020,315,52.7,83978,35375,Dealer,Tier 1,Diesel,Insured,Maharashtra,60,5,57.88
Honda,Unicorn,2021,295,63.6,68352,23903,Individual,Tier 2,Petrol,Not Insured,Rajasthan,10,4,65.03
Bajaj,Pulsar,2010,251,31.2,118841,67858,Individual,Tier 3,Electric,Insured,Uttar Pradesh,14,15,42.9
Suzuki,Burgman,2023,204,69.9,142080,95594,Dealer,Tier 2,Diesel,Insured,Karnataka,11,2,32.72
Bajaj,CT 100,2018,185,62.9,134981,81832,Dealer,Tier 2,Electric,Insured,Maharashtra,48,7,39.38
Bajaj,Pulsar,2015,198,57.5,56787,39021,Dealer,Tier 3,Diesel,Insured,Karnataka,58,10,31.29
Suzuki,Burgman,2016,324,52.7,76257,26392,Individual,Tier 2,Electric,Insured,Tamil Nadu,60,9,65.39
Hero,Passion,2006,327,48.1,68182,34879,Dealer,Tier 3,Diesel,Insured,Rajasthan,53,19,48.84
Suzuki,Gixxer,2021,184,68.9,33212,29737,Dealer,Tier 2,Diesel,Insured,Uttar Pradesh,54,4,10.46
Honda,Unicorn,2014,119,64.5,106606,74069,Individual,Tier 1,Electric,Insured,Delhi,27,11,30.52
Suzuki,Gixxer,2019,345,77.5,118664,65816,Dealer,Tier 2,Petrol,Insured,Karnataka,55,6,44.54
Yamaha,R15,2015,341,71.2,61947,24249,Dealer,Tier 1,Petrol,Not Insured,Rajasthan,57,10,60.86
Hero,Passion,2019,236,69.9,81735,73762,Individual,Tier 2,Electric,Insured,Uttar Pradesh,55,6,9.75
Suzuki,Access,2011,347,33.8,125057,69066,Individual,Tier 3,Electric,Insured,Rajasthan,23,14,44.77
Bajaj,Avenger,2017,173,55.4,140373,117486,Dealer,Tier 3,Electric,Insured,Gujarat,30,8,16.3
Yamaha,FZ,2021,283,77.7,89006,35447,Individual,Tier 3,Petrol,Not Insured,Delhi,19,4,60.17
Honda,Livo,2011,275,57.4,130700,125169,Dealer,Tier 2,Diesel,Not Insured,Gujarat,44,14,4.23
Honda,Shine,2022,112,40.4,37450,20695,Individual,Tier 3,Electric,Insured,Rajasthan,54,3,44.74
Bajaj,CT 100,2018,148,37.8,30912,27179,Individual,Tier 2,Petrol,Not Insured,Uttar Pradesh,22,7,12.08
Suzuki,Burgman,2018,265,36.8,95612,74038,Dealer,Tier 2,Diesel,Insured,Tamil Nadu,24,7,22.56
Yamaha,SZ,2020,158,41.1,114070,31954,Dealer,Tier 2,Diesel,Not Insured,Gujarat,45,5,71.99
Bajaj,Avenger,2021,319,70.5,145753,79706,Individual,Tier 2,Electric,Not Insured,Tamil Nadu,31,4,45.31
Hero,HF Deluxe,2006,209,78.1,96886,61234,Dealer,Tier 1,Electric,Not Insured,Delhi,17,19,36.8
Yamaha,FZ,2013,291,42.8,148328,62924,Individual,Tier 1,Petrol,Not Insured,Tamil Nadu,56,12,57.58
Yamaha,FZ,2009,167,71.1,125869,114785,Individual,Tier 2,Electric,Insured,Delhi,11,16,8.81
Yamaha,SZ,2019,158,31.1,57184,20442,Dealer,Tier 3,Petrol,Insured,Rajasthan,18,6,64.25
Bajaj,CT 100,2017,235,70.0,56837,32534,Individual,Tier 1,Petrol,Not Insured,Rajasthan,41,8,42.76
Bajaj,CT 100,2022,307,31.4,75494,51111,Individual,Tier 1,Electric,Insured,Maharashtra,47,3,32.3
Suzuki,Burgman,2009,252,51.6,47202,36110,Individual,Tier 3,Electric,Insured,Rajasthan,25,16,23.5
Suzuki,Gixxer,2018,319,69.9,77184,32147,Individual,Tier 3,Petrol,Insured,Delhi,39,7,58.35
Bajaj,Pulsar,2019,124,56.4,58929,28568,Individual,Tier 3,Diesel,Insured,Gujarat,25,6,51.52
Bajaj,CT 100,2016,320,52.7,128329,75731,Individual,Tier 1,Electric,Insured,Gujarat,39,9,40.99
Suzuki,Access,2005,104,49.8,97643,93602,Dealer,Tier 3,Diesel,Not Insured,Delhi,47,20,4.14
Hero,HF Deluxe,2020,84,78.1,38654,22747,Individual,Tier 1,Diesel,Not Insured,Karnataka,48,5,41.15
Honda,Shine,2016,167,33.8,40012,22962,Dealer,Tier 1,Petrol,Insured,Karnataka,23,9,42.61
Honda,Shine,2018,185,67.8,38313,21821,Individual,Tier 1,Electric,Insured,Maharashtra,45,7,43.05
Suzuki,Gixxer,2012,255,69.7,44495,37362,Dealer,Tier 1,Electric,Not Insured,Delhi,18,13,16.03
Hero,Splendor,2016,152,41.0,49639,27684,Dealer,Tier 1,Diesel,Insured,Delhi,27,9,44.23
Bajaj,Avenger,2012,154,64.2,40792,23081,Dealer,Tier 2,Petrol,Insured,Maharashtra,29,13,43.42
Honda,Shine,2007,134,52.7,73617,68350,Individual,Tier 3,Diesel,Insured,Gujarat,34,18,7.15
Hero,Splendor,2015,92,67.5,124781,51064,Individual,Tier 2,Diesel,Not Insured,Maharashtra,44,10,59.08
Yamaha,FZ,2007,277,75.5,47469,25581,Individual,Tier 2,Electric,Insured,Uttar Pradesh,11,18,46.11
Bajaj,CT 100,2006,249,58.0,130372,35982,Dealer,Tier 2,Electric,Insured,Delhi,46,19,72.4
Yamaha,R15,2021,276,43.6,141425,93137,Dealer,Tier 1,Diesel,Insured,Rajasthan,51,4,34.14
Hero,Splendor,2021,236,60.2,64703,44667,Individual,Tier 1,Electric,Insured,Uttar Pradesh,24,4,30.97
Yamaha,FZ,2012,98,52.6,123724,122090,Individual,Tier 1,Electric,Insured,Maharashtra,16,13,1.32
Yamaha,R15,2021,161,63.8,85521,54032,Individual,Tier 3,Diesel,Insured,Delhi,21,4,36.82
Bajaj,CT 100,2022,315,45.0,59287,42270,Dealer,Tier 3,Diesel,Not Insured,Karnataka,22,3,28.7
Suzuki,Gixxer,2021,316,37.8,80053,46313,Individual,Tier 1,Electric,Not Insured,Uttar Pradesh,52,4,42.15
Bajaj,Avenger,2007,338,61.0,65145,53963,Dealer,Tier 3,Electric,Insured,Maharashtra,33,18,17.16
Bajaj,Avenger,2006,169,79.7,120146,49437,Dealer,Tier 2,Electric,Insured,Delhi,17,19,58.85
Suzuki,Access,2013,233,31.2,51656,28137,Dealer,Tier 2,Diesel,Insured,Tamil Nadu,22,12,45.53
Suzuki,Gixxer,2015,185,47.3,33184,23373,Individual,Tier 2,Diesel,Insured,Karnataka,37,10,29.57
Suzuki,Gixxer,2015,80,33.6,38548,23886,Dealer,Tier 1,Petrol,Not Insured,Gujarat,38,10,38.04
Suzuki,Gixxer,2013,251,36.0,43038,27749,Individual,Tier 1,Petrol,Not Insured,Karnataka,24,12,35.52
Suzuki,Access,2006,347,38.6,82627,69325,Dealer,Tier 3,Diesel,Insured,Karnataka,34,19,16.1
Bajaj,Avenger,2022,196,51.5,59256,50157,Individual,Tier 2,Diesel,Not Insured,Maharashtra,52,3,15.36
Bajaj,Pulsar,2014,242,46.0,145766,72722,Individual,Tier 3,Electric,Not Insured,Karnataka,51,11,50.11
Hero,HF Deluxe,2012,282,79.6,32093,20828,Individual,Tier 2,Electric,Insured,Tamil Nadu,22,13,35.1
Honda,Livo,2007,275,73.9,110839,83053,Individual,Tier 3,Diesel,Not Insured,Tamil Nadu,52,18,25.07
Yamaha,R15,2014,338,54.7,49853,22178,Dealer,Tier 1,Diesel,Not Insured,Gujarat,41,11,55.51
Yamaha,R15,2022,257,48.9,137224,113735,Dealer,Tier 1,Petrol,Not Insured,Rajasthan,23,3,17.12
Yamaha,SZ,2019,187,62.5,75119,73971,Dealer,Tier 2,Diesel,Insured,Karnataka,27,6,1.53
Suzuki,Burgman,2019,89,65.3,133958,100897,Individual,Tier 3,Petrol,Not Insured,Gujarat,10,6,24.68
Yamaha,FZ,2007,192,71.6,61603,30866,Individual,Tier 1,Diesel,Not Insured,Maharashtra,53,18,49.9
Yamaha,FZ,2008,347,66.6,148022,44153,Dealer,Tier 1,Petrol,Insured,Maharashtra,38,17,70.17
Honda,Livo,2016,202,48.5,130445,58487,Dealer,Tier 3,Electric,Insured,Tamil Nadu,16,9,55.16
Hero,Passion,2013,95,67.5,46459,38356,Dealer,Tier 2,Diesel,Insured,Rajasthan,44,12,17.44
Bajaj,CT 100,2011,108,52.0,42198,22904,Dealer,Tier 2,Diesel,Insured,Tamil Nadu,43,14,45.72
Honda,Unicorn,2010,292,68.7,92708,81248,Dealer,Tier 1,Petrol,Insured,Tamil Nadu,43,15,12.36
Yamaha,FZ,2013,111,39.6,48566,45359,Individual,Tier 2,Electric,Insured,Delhi,23,12,6.6
Honda,Unicorn,2005,211,61.2,99325,96784,Individual,Tier 2,Diesel,Insured,Rajasthan,55,20,2.56
Bajaj,Pulsar,2016,120,64.0,91388,42073,Dealer,Tier 3,Petrol,Insured,Rajasthan,26,9,53.96
Yamaha,SZ,2014,149,68.9,128461,105363,Individual,Tier 1,Diesel,Not Insured,Karnataka,30,11,17.98
Hero,Passion,2021,142,75.2,106505,21086,Individual,Tier 3,Petrol,Insured,Tamil Nadu,12,4,80.2
Bajaj,CT 100,2019,136,63.8,134120,114216,Individual,Tier 3,Diesel,Insured,Rajasthan,14,6,14.84
Suzuki,Gixxer,2014,202,77.6,137493,60603,Dealer,Tier 1,Petrol,Insured,Tamil Nadu,25,11,55.92
Bajaj,Avenger,2009,253,67.2,114285,30736,Dealer,Tier 2,Electric,Insured,Uttar Pradesh,50,16,73.11
Yamaha,R15,2017,167,56.9,125348,82378,Dealer,Tier 1,Electric,Insured,Gujarat,41,8,34.28
Bajaj,CT 100,2023,280,66.7,125896,48560,Individual,Tier 2,Diesel,Insured,Delhi,23,2,61.43
Yamaha,FZ,2006,99,69.3,91218,84956,Individual,Tier 3,Electric,Not Insured,Tamil Nadu,45,19,6.86
Hero,HF Deluxe,2021,122,52.0,61657,50123,Dealer,Tier 2,Petrol,Not Insured,Rajasthan,14,4,18.71
Bajaj,Avenger,2015,201,59.0,55388,49439,Dealer,Tier 3,Diesel,Not Insured,Karnataka,19,10,10.74
Suzuki,Gixxer,2021,280,70.4,77102,72060,Individual,Tier 1,Diesel,Not Insured,Tamil Nadu,30,4,6.54
Hero,Splendor,2006,141,62.0,117033,58134,Individual,Tier 2,Diesel,Insured,Tamil Nadu,43,19,50.33
Hero,Splendor,2018,283,45.4,126292,35701,Individual,Tier 3,Petrol,Insured,Rajasthan,38,7,71.73
Suzuki,Burgman,2016,292,70.4,107889,62487,Dealer,Tier 2,Petrol,Insured,Rajasthan,22,9,42.08
Honda,Unicorn,2020,83,32.5,143102,23156,Dealer,Tier 2,Electric,Insured,Delhi,55,5,83.82
Bajaj,CT 100,2014,98,41.9,46969,38324,Individual,Tier 3,Petrol,Not Insured,Uttar Pradesh,60,11,18.41
Hero,Splendor,2010,304,76.7,134080,46507,Individual,Tier 1,Petrol,Insured,Gujarat,39,15,65.31
Yamaha,SZ,2023,172,67.5,37527,35263,Individual,Tier 1,Petrol,Insured,Tamil Nadu,51,2,6.03
Hero,Passion,2016,215,44.9,109862,97903,Dealer,Tier 1,Petrol,Not Insured,Karnataka,52,9,10.89
Honda,Unicorn,2010,94,74.8,56942,37409,Individual,Tier 3,Electric,Insured,Maharashtra,11,15,34.3
Suzuki,Access,2012,82,70.8,65336,40578,Individual,Tier 3,Electric,Insured,Delhi,51,13,37.89
Hero,Passion,2023,150,73.4,122476,52663,Dealer,Tier 3,Electric,Not Insured,Rajasthan,60,2,57.0
Bajaj,Pulsar,2014,152,77.5,79669,70637,Individual,Tier 2,Petrol,Insured,Karnataka,10,11,11.34
Yamaha,SZ,2007,321,67.5,70467,59508,Dealer,Tier 3,Diesel,Insured,Delhi,25,18,15.55
Hero,Splendor,2005,258,52.8,119950,53321,Individual,Tier 3,Electric,Not Insured,Karnataka,15,20,55.55
Yamaha,SZ,2017,325,74.7,135802,56776,Individual,Tier 1,Diesel,Not Insured,Delhi,18,8,58.19
Hero,Splendor,2011,227,32.0,38436,35733,Dealer,Tier 3,Diesel,Not Insured,Karnataka,18,14,7.03
Hero,Passion,2019,101,79.5,30455,27943,Dealer,Tier 2,Petrol,Insured,Rajasthan,34,6,8.25
Suzuki,Access,2008,240,63.7,122209,49918,Individual,Tier 1,Petrol,Insured,Karnataka,15,17,59.15
Suzuki,Access,2022,168,67.8,83706,65155,Individual,Tier 2,Electric,Insured,Karnataka,48,3,22.16
Bajaj,Avenger,2006,325,34.0,36099,26351,Individual,Tier 1,Diesel,Not Insured,Tamil Nadu,33,19,27.0
Suzuki,Burgman,2016,89,71.5,144926,63036,Individual,Tier 2,Diesel,Insured,Delhi,30,9,56.5
Hero,HF Deluxe,2018,165,58.3,77880,44090,Dealer,Tier 1,Diesel,Not Insured,Delhi,55,7,43.39
Honda,Shine,2013,333,49.7,121149,44105,Dealer,Tier 3,Petrol,Insured,Karnataka,21,12,63.59
Hero,Passion,2022,114,77.0,119572,24417,Dealer,Tier 1,Electric,Insured,Uttar Pradesh,47,3,79.58
Honda,Livo,2023,237,45.2,63426,60594,Individual,Tier 3,Electric,Insured,Tamil Nadu,25,2,4.47
Honda,Unicorn,2007,193,55.8,139982,78334,Individual,Tier 2,Petrol,Not Insured,Uttar Pradesh,12,18,44.04
Bajaj,CT 100,2010,104,76.7,49428,27803,Dealer,Tier 3,Petrol,Not Insured,Tamil Nadu,34,15,43.75
